OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
71557,39035177403,39,035,177403,,,,,1769127.06640625,6115.69636394093
71558,39035177404,39,035,177404,,,,,1691535.76953125,5400.81220713247
71559,39035177405,39,035,177405,,,,,3235213.61328125,7574.32985157626
71560,39035177406,39,035,177406,,,,,2491981.2890625,7991.15743034542
71561,39035177501,39,035,177501,,,,,3103930.66796875,8231.36343766255
71562,39035177503,39,035,177503,,,,,9540115.6640625,16299.4586242898
71619,39035981100,39,035,981100,,,,,5164835.1953125,11252.4737913852
71624,39035104400,39,035,104400,,,,,2011782.0390625,6883.72218102187
71625,39035105300,39,035,105300,,,58,8.35000038,1150599.49609375,4700.43351550595
71626,39035171205,39,035,171205,,,44,8.03999996,3181891.4765625,8518.26618201903
71627,39035172101,39,035,172101,,,,,2282897.60546875,6046.11392686489
71632,39035172102,39,035,172102,,,,,3162164.7890625,7439.13344000151
71640,39035177302,39,035,177302,,,,,3315599.9609375,7841.33864150839
71641,39035177303,39,035,177303,,,14,2.53999996,2885528.42578125,8092.58367163831
71644,39035177504,39,035,177504,,,,,3672873.984375,8737.54474160609
71645,39035177505,39,035,177505,,,,,6524352.71484375,11472.2955524751
71646,39035177604,39,035,177604,,,,,4000668.16796875,9908.20666084759
71647,39035177605,39,035,177605,,,,,4378671.671875,9553.99979136175
71706,39035172201,39,035,172201,,,,,4131106.984375,9220.21906334611
71707,39035172202,39,035,172202,,,,,6906188.9140625,13213.2527730163
71708,39035174107,39,035,174107,,,,,3794914.58984375,8330.82024123675
71709,39035173103,39,035,173103,,,17,5.1500001,5871658.97265625,12280.7949095879
71710,39035173104,39,035,173104,,,,,13188777.9609375,16435.5171252464
71711,39035173106,39,035,173106,,,,,4174040.265625,8610.8335033327
71722,39035180104,39,035,180104,,,44,3.24000001,4454296.59765625,12062.0790692265
71723,39035140301,39,035,140301,,,89,23.18000031,1291124.69921875,5139.988901877
71845,39035175105,39,035,175105,,,,,12610581.34375,17511.460095629
71846,39035175106,39,035,175106,,,,,6544140.52734375,12061.347518279
71961,39035105400,39,035,105400,,,56,7.03000021,1883733.875,7314.21156975733
71962,39035105602,39,035,105602,,,63,10.85999966,3113029.05859375,8745.05627951624
71963,39035105700,39,035,105700,,,36,2.99000001,2907606.51953125,7899.64696852817
71964,39035105900,39,035,105900,,,19,4.36000013,2749373.01171875,6845.24000278704
71965,39035106100,39,035,106100,,,14,2.88000011,2877839.5078125,6777.98059666005
71966,39035175201,39,035,175201,,,,,27708738.4140625,21694.6368315118
72062,39035195900,39,035,195900,,,,,12193315.4765625,20117.4758491885
72072,39035175202,39,035,175202,,,,,21802070.3046875,19068.7489736803
72073,39035177304,39,035,177304,,,,,2932367.5703125,8636.40523442153
72074,39035176200,39,035,176200,,,,,9640412.359375,18857.5283414538
72075,39035177101,39,035,177101,,,84,6.94999981,8934318.3359375,13402.5353377576
72076,39035177103,39,035,177103,,,,,3548281.125,9507.08649120627
72077,39035177104,39,035,177104,,,,,2538645.34375,9254.12185770027
72078,39035990000,39,035,990000,,,,,7401.625,1027.27772076759
72079,39035138107,39,035,138107,,,,,3863963.875,9206.10136623143
72080,39035161000,39,035,161000,,,,,664563.5,3475.41018048951
72172,39035178201,39,035,178201,,,,,3636760.63671875,8568.3956208295
72173,39035178204,39,035,178204,,,112,6.61999989,2830248.3671875,6894.94811246562
72271,39035109301,39,035,109301,,,45,7.6500001,1360905.1953125,5994.6732842826
72272,39035109801,39,035,109801,,,,,1330442.80078125,4781.01842678866
72273,39035196200,39,035,196200,,,451,30.82999992,3616806.6015625,9276.08602983688
72274,39035102102,39,035,102102,,,38,5.98999977,1466302.8125,5714.64658063334
72275,39035102200,39,035,102200,,,46,7.84000015,1584543.22265625,6908.76254829551
72276,39035160400,39,035,160400,,,,,2010187.18359375,6550.08232696536
72359,39035102300,39,035,102300,,,46,9.28999996,810279.31640625,4752.08014897155
72360,39035102700,39,035,102700,,,89,9.27000046,3549709.0703125,8395.29264032692
72361,39035102800,39,035,102800,,,30,6.67999983,804512.921875,3661.62273881003
72362,39035160200,39,035,160200,,,,,877031.234375,5115.64187988072
72363,39035160500,39,035,160500,,,54,4.30000019,2174169.23828125,6510.70562095193
72364,39035161600,39,035,161600,,,,,819267.25,3705.24698461619
72365,39035170101,39,035,170101,,,,,3005792.9375,7583.89443832064
72366,39035171102,39,035,171102,,,137,17.22999954,4946521.40234375,11204.2591807924
